Date,Underlying,Call/Put,Long/Short,Contract Month,Strike Price,Price,Size
2018-08-07,700,P,S,8,340.0,4.22,10
2018-08-07,700,P,S,9,350.0,10.0,5
2018-08-08,700,P,S,8,330.0,2.35,10
2018-08-08,700,P,S,8,340.0,3.76,10
2018-08-08,700,P,S,8,340.0,3.8,10
2018-08-09,700,P,S,8,340.0,2.9,5
2018-08-09,700,P,L,8,340.0,2.8,5
2018-08-13,700,P,S,8,340.0,3.17,10
2018-08-14,700,P,L,8,340.0,9.0,10
2018-08-14,700,P,L,8,340.0,8.76,5
2018-08-15,700,P,S,8,310.0,2.97,5
2018-08-15,700,P,S,8,310.0,3.01,5
2018-08-15,700,P,L,8,340.0,10.22,5
2018-08-15,700,P,L,8,340.0,13.32,10
2018-08-15,700,P,L,8,340.0,11.79,10
2018-08-16,700,P,L,8,330.0,9.232000000000001,1
2018-08-16,700,P,L,8,330.0,9.3,1
2018-08-16,700,P,L,9,350.0,27.79,5
2018-08-21,66,C,L,9,40.0,0.84,3
2018-08-21,66,P,S,8,41.0,1.29,3
2018-08-21,700,P,S,9,350.0,11.46,3
2018-08-30,1211,P,L,9,47.0,1.38,3
2018-08-30,66,P,L,8,41.0,0.02,3
2018-09-06,175,P,L,9,14.5,0.27,1
2018-09-06,2318,P,L,9,75.0,1.47,3
2018-09-06,700,C,S,9,350.0,1.47,5
2018-08-30,700,P,L,8,310.0,0.0,10
2018-08-30,700,P,L,8,330.0,0.0,8
2018-08-31,700,P,L,9,350.0,15.44,1
2018-08-31,700,P,L,9,350.0,16.4,1
2018-08-31,700,P,L,9,350.0,16.56,1
2018-09-07,1211,C,S,9,46.0,1.39,5
2018-09-07,1211,P,S,9,47.0,3.16,5
2018-09-10,1211,P,L,9,47.0,3.5,2
2018-09-10,2318,C,S,9,75.0,1.15,5
2018-09-11,175,P,S,9,14.5,0.5,1
2018-09-11,2318,P,S,9,75.0,2.12,3
2018-09-11,1299,P,S,9,62.5,1.53,1
2018-09-11,941,C,S,9,75.0,2.0,5
2018-09-11,941,C,S,9,72.5,4.14,5
2018-09-11,1299,P,S,9,62.5,1.6,1
2018-09-11,941,C,L,9,77.5,0.71,5
2018-09-11,941,P,S,9,72.5,0.25,5
2018-09-11,941,P,S,9,80.0,4.0,5
2018-09-12,941,P,L,9,80.0,4.72,5
2018-09-12,1299,P,L,9,62.5,1.4,1
2018-09-12,1299,P,L,9,62.5,1.4,1
2018-09-12,1299,C,S,9,60.0,3.32,3
2018-09-12,700,P,S,9,310.0,8.62,2
2018-09-12,700,P,S,10,310.0,13.44,2
2018-09-12,66,C,S,9,40.0,1.11,3
2018-09-12,1299,P,S,9,62.5,1.24,3
